[2025-05-14 14:29:43.360] DEBUG   (proxy.go:465)   X-Causation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.360] DEBUG   (proxy.go:465)   Vary: Origin
[2025-05-14 14:29:43.359] DEBUG   (proxy.go:465)   Access-Control-Expose-Headers: X-Correlation-Id
[2025-05-14 14:29:43.357] DEBUG   (proxy.go:465)   Access-Control-Allow-Origin: http://192.168.1.77:8100
[2025-05-14 14:29:43.356] DEBUG   (proxy.go:465)   Access-Control-Allow-Credentials: true
[2025-05-14 14:29:43.355] DEBUG   (proxy.go:465)   Alt-Svc: h3=":443"; ma=86400
[2025-05-14 14:29:43.355] DEBUG   (proxy.go:465)   Content-Encoding: gzip
[2025-05-14 14:29:43.354] DEBUG   (proxy.go:465)   X-Organization: koho
[2025-05-14 14:29:43.353] DEBUG   (proxy.go:465)   Content-Type: application/json; charset=UTF-8
[2025-05-14 14:29:43.352] DEBUG   (proxy.go:465)   Date: Wed, 14 May 2025 18:29:43 GMT
[2025-05-14 14:29:43.351] DEBUG   (proxy.go:462) Headers received from server:
[2025-05-14 14:29:43.350] DEBUG   (proxy.go:465)   Cf-Ray: 93fc766c2cd8a20e-YYZ
[2025-05-14 14:29:43.348] DEBUG   (proxy.go:465)   Cf-Cache-Status: DYNAMIC
[2025-05-14 14:29:43.347] DEBUG   (proxy.go:465)   Server: cloudflare
[2025-05-14 14:29:43.346] DEBUG   (proxy.go:465)   Strict-Transport-Security: max-age=15552000; includeSubDomains; preload
[2025-05-14 14:29:43.346] DEBUG   (proxy.go:465)   X-Causation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.345] DEBUG   (proxy.go:465)   Vary: Origin
[2025-05-14 14:29:43.344] DEBUG   (proxy.go:465)   Access-Control-Expose-Headers: X-Correlation-Id
[2025-05-14 14:29:43.343] DEBUG   (proxy.go:465)   Access-Control-Allow-Origin: http://192.168.1.77:8100
[2025-05-14 14:29:43.342] DEBUG   (proxy.go:465)   Access-Control-Allow-Credentials: true
[2025-05-14 14:29:43.341] DEBUG   (proxy.go:465)   Alt-Svc: h3=":443"; ma=86400
[2025-05-14 14:29:43.340] DEBUG   (proxy.go:465)   Content-Encoding: gzip
[2025-05-14 14:29:43.339] DEBUG   (proxy.go:465)   X-Organization: koho
[2025-05-14 14:29:43.338] DEBUG   (proxy.go:465)   Content-Type: application/json; charset=UTF-8
[2025-05-14 14:29:43.338] DEBUG   (proxy.go:465)   Date: Wed, 14 May 2025 18:29:43 GMT
[2025-05-14 14:29:43.337] DEBUG   (proxy.go:465)   X-Content-Type-Options: nosniff
[2025-05-14 14:29:43.336] DEBUG   (proxy.go:465)   X-Correlation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.335] DEBUG   (proxy.go:462) Headers received from server:
[2025-05-14 14:29:43.334] DEBUG   (proxy.go:465)   X-Content-Type-Options: nosniff
[2025-05-14 14:29:43.333] DEBUG   (proxy.go:465)   X-Correlation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.332] DEBUG   (proxy.go:465)   Cf-Ray: 93fc766c2cd8a20e-YYZ
[2025-05-14 14:29:43.331] DEBUG   (proxy.go:465)   Cf-Cache-Status: DYNAMIC
[2025-05-14 14:29:43.330] DEBUG   (proxy.go:465)   Server: cloudflare
[2025-05-14 14:29:43.329] DEBUG   (proxy.go:465)   Strict-Transport-Security: max-age=15552000; includeSubDomains; preload
[2025-05-14 14:29:43.328] DEBUG   (proxy.go:465)   X-Causation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.327] DEBUG   (proxy.go:465)   Vary: Origin
[2025-05-14 14:29:43.326] DEBUG   (proxy.go:465)   Access-Control-Expose-Headers: X-Correlation-Id
[2025-05-14 14:29:43.325] DEBUG   (proxy.go:465)   Access-Control-Allow-Origin: http://192.168.1.77:8100
[2025-05-14 14:29:43.324] DEBUG   (proxy.go:465)   Access-Control-Allow-Credentials: true
[2025-05-14 14:29:43.323] DEBUG   (proxy.go:465)   Alt-Svc: h3=":443"; ma=86400
[2025-05-14 14:29:43.322] DEBUG   (proxy.go:465)   Content-Encoding: gzip
[2025-05-14 14:29:43.321] DEBUG   (proxy.go:465)   X-Organization: koho
